"Núm. fotog.","Núm. ekta.","Nombre d'exemplars","Any","Autor i data de la fitxa","Bibliografia","Descripció de l'objecte","Estat de conservació","Exposicions","Lloc de procedència","Localització","updated loc.","Mides","obra gràfica =","obra original =","préstec a :","Reproduccions","Restauracions","técnica","Tècnica","Títol","Valoració Econòmica en €","vegap:","Causa de baixa i data","Objectes en relació indicacant n. registre","Edició","Editor","Exemplar","Mides planxa","Marca paper","Impressor","Tiratge","Núm. planxes","Filigrana","trad. castellano","trad. english","trad. français","trad.castellano técnica:","trad.english technique:","trad.français technique:"
,,2,1986,"7 desembre 1993",,"Estoig que conté: Els tapissos d'Antoni Tàpies, Antoni Tàpies a l'Escola Massana i Serigrafia d'Antoni Tàpies. Text de Francesc Miralles. Serigrafia sobre tela d'Antoni Tàpies.",,,,"OG","D03","24,2 x 17,5 cm","sí",,,,,"Serigrafia en una tinta (negro)","Serigrafia en una tinta (negre)","Escola Massana-- Els Tapissos d'Antoni Tàpies, Antoni Tàpies a l'Escola Massana, Serigrafía d'Antoni Tàpies",,,,,"300 exs. n. 1-300 i f., més alguns exs. F.T. s.","Escola Massana, Barcelona",,,,"Tallers de l'Escola Massana, Barcelona (llibre) i Albert Reig i Josep Puig, Tallers de l'Escola Massana (serigrafia)",,,,,,,,,
,,2,1986,"7 desembre 1993",,"Estoig que conté: Els tapissos d'Antoni Tàpies, Antoni Tàpies a l'Escola Massana i Serigrafia d'Antoni Tàpies. Text de Francesc Miralles. Serigrafia sobre tela d'Antoni Tàpies.
",,,,"OG","D03","24,2 x 17,5 cm","sí",,,,,"Serigrafia en una tinta (negro)","Serigrafia en una tinta (negre)","Escola Massana-- Els Tapissos d'Antoni Tàpies, Antoni Tàpies a l'Escola Massana, Serigrafía d'Antoni Tàpies",,,,,"300 exs. n. 1-300 i f., més alguns exs. F.T. f.","Escola Massana, Barcelona",,,,"Tallers de l'Escola Massana, Barcelona (llibre) i Albert Reig i Josep Puig, Tallers de l'Escola Massana (serigrafia)",,,,,,,,,
,,2,1976,,,,,,,"OG","E05","56 x 76 cm.","sí",,,,,"Aguafuerte en varias tintas con flocado y relieve","Aiguafort en diverses tintes amb flocat i relleu","Esgrafiats damunt negre",,,,,"75 exs. n. i s., més 15 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1976,,,,,,,"OG","E05","56 x 76 cm.","sí",,,,,"Aguafuerte en varias tintas con flocado y relieve","Aiguafort en diverses tintes amb flocat i relleu","Esgrafiats damunt negre",,,,,"75 exs. n. i s., més 15 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1976,,,,,,,"OG","E05","56 x 76 cm.","sí",,,,,"Aguafuerte en varias tintas con flocado y relieve","Aiguafort en diverses tintes amb flocat i relleu","Espai amb signes",,,,,"75 exs. n. i s., més 15 exs. H.C. s.","La Polígrafa, Barcelona",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1976,,,,,,,"OG","E05","56 x 76 cm.","sí",,,,,"Aguafuerte en varias tintas con flocado y relieve","Aiguafort en diverses tintes amb flocat i relleu","Espai amb signes",,,,,"75 exs. n. i s., més 15 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1974,,,,,,,"OG","B06","56 x 76 cm","sí",,,,,"Aguafuerte en varias tintas con relieve","Aiguafort en diverses tintes amb relleu","Esperit català I",,,,,"75 exs. n. i s., més 10 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1974,,,,,,,"OG","B06","56 x 76 cm","sí",,,,,"Aguafuerte en varias tintas con relieve","Aiguafort en diverses tintes amb relleu","Esperit català I",,,,,"75 exs. n. i s., més 10 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1974,,,,,,,"OG","B06","46 x 76 cm","sí",,,,,"Aguafuerte en diversas tintas con relieve","Aiguafort en diverses tintes amb relleu","Esperit català II",,,,,"75 exs. n. i s., més 10 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1974,,,,,,,"OG","B06","46 x 76 cm","sí",,,,,"Aguafuerte en diversas tintas con relieve","Aiguafort en diverses tintes amb relleu","Esperit català II",,,,,"75 exs. n. i s., més 10 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1989,,,,,,,"OG","D02","63 x 90 cm","sí",,,,,"Aguafuerte y serigrafía en varias tintas (marrón, ocre, negro y blanco)","Aiguafort i serigrafia en diverses tintes (marró, ocre, negre i blanc)","Espiral",,,,,"45 exs. n. 1/45 - 45/45 i s.","Galeria Toni Tàpies, Barcelona",,"43 x 70 cm","Arches","Magí Baleta, Barcelona",,,"Arches",,,,,,
,,2,1989,,,,,,,"OG","D02","63 x 90 cm","sí",,,,,"Aguafuerte y serigrafía en varias tintas (marrón, ocre, negro y blanco)","Aiguafort i serigrafia en diverses tintes (marró, ocre, negre i blanc)","Espiral",,,,,"45 exs. n. 1/45 - 45/45 i s.","Galeria Toni Tàpies, Barcelona",,,"Arches","Magí Baleta, Barcelona",,,"Arches",,,,,,
,,2,1976,,,,,,,"OG","E06","56 x 76 cm.","sí",,,,,"Aguafuerte en varias tintas con flocado y relieve","Aiguafort en diverses tintes amb flocat i relleu","Espiral",,,,,"75 exs. n. i s., més 15 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1976,,,,,,,"OG","E06","56 x 76 cm.","sí",,,,,"Aguafuerte en varias tintas con flocado y relieve","Aiguafort en diverses tintes amb flocat i relleu","Espiral",,,,,"75 exs. n. i s., més 15 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1991,,,,,,,"OG","D05","69 x 94 cm","sí",,,,,"Aguafuerte, resinas, barníz blando, técinca de azúcar y carborúndum en varias tintas (negro, gris, rojo y blanco)","Aiguafort, resines, vernís tou, tècnica de sucre i carborúndum en diverses tintes (negre, gris, vermell i blanc)","Espiral blanca",,,,,"75 exs. n. 1/75 - 75/75 i f., 5 exs. P.A. n. 1/5-5/5 i f.","Polígrafa Obra gràfica S.L., Barcelona",,,"Aquari, fet a mà","Tallers de Polígrafa Obra Gràfica S.L., Barcelona",,,,,,,,,
,,2,1991,,,,,,,"OG","D05","69 x 94 cm","sí",,,,,"Aguafuerte, resinas, barníz blando, técinca de azúcar y carborúndum en varias tintas (negro, gris, rojo y blanco)","Aiguafort, resines, vernís tou, tècnica de sucre i carborúndum en diverses tintes (negre, gris, vermell i blanc)","Espiral blanca",,,,,"75 exs. n. 1/75 - 75/75 i f., 5 exs. P.A. n. 1/5-5/5 i s.","Polígrafa Obra gràfica S.L., Barcelona",,,"Aquari, fet a mà","Tallers de Polígrafa Obra Gràfica S.L., Barcelona",,,,,,,,,
,,2,1990,,,,,,,"OG","E11",,"sí",,,,,"Aguatinta en  varias tintas (negro, beige, rojo y blanco)","Aiguatinta en diverses tintes (negre, beix, vermell i blanc)","Espiral i petjada",,,,,"30 exs. n. 1/30-30/30 i s., 2 exs. P.A. n. 1/2-2/2 i s., 3 exs. H.C. n. 1/3-3/3 i s., més alguns exs. nominals","Galeria Toni Tàpies, Barcelona",,,"Molí  Sardà, fet a mà","Joan Roma i Takeshi Motomiya, Barcelona",,,,,,,,,
,,2,1990,,,,,,,"OG","E11","138 x 69,5 cm. (irregular)","sí",,,,,"Aguatinta en  varias tintas (negro, beige, rojo y blanco)","Aiguatinta en diverses tintes (negre, beix, vermell i blanc)","Espiral i petjada",,,,,"30 exs. n. 1/30-30/30 i s., 2 exs. P.A. n. 1/2-2/2 i s., 3 exs. H.C. n. 1/3-3/3 i s., més alguns exs. nominals","Galeria Toni Tàpies, Barcelona",,,"Molí Sardà, fet a mà","Joan Roma i Takeshi Motomiya, Barcelona",,,,,,,,,
"T-3223",,,1982,,,,,,,"RP","2A","330 x 237 cm",,"sí",,,,,"Pintura acrílica i tinta xinesa sobre roba muntada sobre tela","Espiral negra","486819,804550864",,,,,,,,,,,,,"Espiral negra","Black Spiral","Spirale noire","Pintura acrílica y tinta china sobre tela montada sobre tela","Acrylic paint and India ink on fabric mounted on canvas","Peinture acrylique et encre de Chine sur toile"
,,2,1998,,,,,,,"OG","E13","47 x 50,5 cm.","sí",,,,,"Carborúndrum, agutinta y S. en varias tintas (marrón claro, negro y blanco)","Carborúndrum, aiguatinta i S. en diverses tintes (marró clar, negre i blanc)","Espiral sobre negre",,,,,"40 exs. n. 1/40-40/40 i s.; 3 exs. n. 1/3-3/3 i s.; 2 exs. H.C. n. 1/2-2/2 i s., més alguns exemplars nominals","Galeria Toni Tàpies, Barcelona",,,"Richard de Bas","Joan Roma i Takeshi Motomiya, Barcelona",,,,,,,,,
,,2,1998,,,,,,,"OG","E13","47 x 50,5 cm.","sí",,,,,"Carborúndrum, agutinta y S. en varias tintas (marrón claro, negro y blanco)","Carborúndrum, aiguatinta i S. en diverses tintes (marró clar, negre i blanc)","Espiral sobre negre",,,,,"40 exs. n. 1/40-40/40 i s.; 3 exs. n. 1/3-3/3 i s.; 2 exs. H.C. n. 1/2-2/2 i s., més alguns exemplars nominals","Galeria Toni Tàpies, Barcelona",,,"Rihard de Bas","Joan Roma i Takeshi Motomiya, Barcelona",,,,,,,,,
,,2,1994,,,"Grabado realizat dins el marc del projecte ""Les artistes pour médecines du monde""",,,,"OG","D08","108 x 76 cm","sí",,,,,"Carborúndum, barniz blando  2 tintas (gris y negro) y collage de papel en","Carborúndum, vernís tou en 2 tintes (gris y negre) y collage de paper ","Espoir",,,,,"50 exs. n. 1/50-50/50 i s., 25 exs. n. I/XXV-XXV/XXV i s., 5 exs. P.A. n. 1/5-5/5 i s., 10 ejs. H.C. s., més alguns exs. nominals.","Ed. Editions de la Tempête, París",,,"Arches velin","Joan Roma y Takeshi Motomiya, Barcelona",,,,,,,,,
,,2,1994,,,"Grabado realizat dins el marc del projecte ""Les artistes pour médecines du monde""",,,,"OG","D08","108 x 76 cm","sí",,,,,"Carborúndum, barniz blando en 2 tintas (gris y negro) y collage de papel ","Carborúndum, vernís tou en 2 tintes (gris y negre) y collage de paper ","Espoir",,,,,"50 exs. n. 1/50-50/50 i s., 25 exs. n. I/XXV-XXV/XXV i s., 5 exs. P.A. n. 1/5-5/5 i s., 10 ejs. H.C. s., més alguns exs. nominals.","Ed. Editions de la Tempête, París",,,"Arches velin","Joan Roma y Takeshi Motomiya, Barcelona",,,,,,,,,
,,2,1979,,,,,,,"OG","C02","83 x 69 cm.","sí",,,,,"A., aguatinta y carborúndrum en varias tintas con relieve","A., aiguatinta i carborúndrum en diverses tintes amb relleu","Estisores - 2",,,,,"75 exs. n. 1/75-75/75 i s., 10 exs. H.C. s., més 10 exs. P.A. s.","Ediciones Polígrafa S.A., Barcelona",,,"Guarro","Tallers d'Edicions Polígrafa S.A., Barcelona",,,"Guarro",,,,,,
,,2,1979,,,,,,,"OG","C02","83 x 69 cm.","sí",,,,,"A., aguatinta y carborúndrum en varias tintas con relieve","A., aiguatinta i carborúndrum en diverses tintes amb relleu","Estisores - 2",,,,,"75 exs. n. 1/75-75/75 i s., 10 exs. H.C. s., més 10 exs. P.A. s.","Ediciones Polígrafa S.A., Barcelona",,,"Guarro","Tallers d'Edicions Polígrafa S.A., Barcelona",,,"Guarro",,,,,,
"T-4011",,,1952,,,,,"""Galerias Layetanas, Barcelona, 1952""",,"OG
","E21 ","52 x 24 cm",,"sí",,,,,"Pintura i quitrà sobre paper","Estudi per a un personatge d'una obra de Brossa","60101,2104383782",,,,,,,,,,,,,"Estudio para un personaje de una obra de Brossa","Study for a Character in a Play by Brossa ","Étude pour un personnage d'une oeuvre de Brossa","Pintura y alquitrán sobre papel","Paint and tar on paper","Peinture et goudron sur papier"
"T-2511",,,1950,,"BROSSA, J.   Ú no és ningú    (b/n)
Art i Modernitat  als Països Catalans , Staatliche Kunsthalle, Berlin 1978,
cat. 15, p.243  ",,,"""Staatliche Kunsthalle, Berlin 1978: Art i Modernitat als Països
Catalans""  , cat. 15, p. 243
",,"OG","II070","50 x 33,5 cm",,"sí",,,,,"Tinta xinesa sobre paper","Explotador. Sèrie Història Natural","60101,2104383782",,,,,,,,,,,,,"Explotador. Serie Historia Natural","Exploiter. Natural History Series","Exploiteur. Série Histoire naturelle","Tinta china sobre papel","India ink on paper","Encre de Chine sur papier"
,,2,1979,,"MALET, Rosa Maria, comp. Los carteles de Tàpies, Polígrafa, Barcelona, 1984",,,,,"OG","C02","76 x 56 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","Exposició U no és ningú",,,,,"Tiratge ""avant la lettre"" de 99 exs. n. 1/99-99/99 i s., 25 exs. H.C. s., més 15 exs. P.A. s. d'un cartell per la presentació i exposició del llibre de Joan Brossa i Antoni Tàpies ""U no és ningú"" a la Galeria Joan Prats, de Barcelona (novembre-desembre de 1979) ","La Polígrafa, Barcelona",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1979,,"MALET, Rosa Maria, comp. Los carteles de Tàpies, Polígrafa, Barcelona, 1984",,,,,"OG","C02","76 x 56 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","Exposició U no és ningú",,,,,"Tiratge ""avant la lettre"" de 99 exs. n. 1/99-99/99 i s.; 25 exs. H.C. s.; més 15 exs. P.A. s. d'un cartell per a la presentació i exposició del llibre de Joan Brossa i Antoni Tàpies ""U no és ningú"" a la galeria Joan Prats de Barcelona (novembre-desembre de 1978)","La Polígrafa, Barcelona",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,,1982,,,,,,,"OG","E07","76 x 56 cm.","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","Exposición Aparicions",,,,,"Tiratge avant la lettre de 99 exs. n. 1/99-99/99 i s., 25 exs. H.C. n. 1/25-25/25 i s., més 5 exs. H.C. s. i no n. d'un cartell per la presentació i exposició del llibre de Pere Gimferrer i Antoni Tàpies Aparicions a la Galeria Joan Prats de Barcelona (juny-setembre de 1982)","Galeria Joan Prats, Barcelona",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1981,,,,,,,"OG","C04","50 x 65 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","Exposición Tàpies",,,,,"Tiratge ""avant la lettre"" de 100 exs. n. 1/100-100/100 i s., més alguns exemplars P.A. s., de les cobertes del catàleg de l'exposició de Tàpies en la Fondation du Chateau de Jau, Cases de Pène (estiu de 1981)","Fondation du Chateau de Jau, Cases de Pène",,,"Arches","Litografies Artístiques Damià Caus, Barcelona",,,"Arches",,,,,,
,,2,1981,,,,,,,"OG","C04","50 x 65 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","Exposición Tàpies",,,,,"Tiratge ""avant la lettre"" de 100 exs. n. 1/100-100/100 i s., més alguns exemplars P.A. s., de les cobertes del catàleg de l'exposició de Tàpies en la Fondation du Chateau de Jau, Cases de Pène (estiu de 1981)","Fondation du Chateau de Jau, Cases de Pène",,,"Arches","Litografies Artístiques Damià Caus, Barcelona",,,"Arches",,,,,,
,,2,1981,,,,,,,"OG","C04","50 x 65 cm.","sí",,,,,"L. en varias tintas","L. en diverses tintes","Exposición Tàpies",,,,,"Tiratge avant la lettre de 100 exs. n. 1/100-100/100 i s., més alguns exs. P.A. de les cobertes del catàleg de l'exposició de Tàpies a la Fondation du Château de Jau, Cases de Pène (estiu de 1981)","Fondation du Château de Jau, Cases de Pène",,,"Arches","Litografías Artísticas Damià Caus, Barcelona",,,"Arches",,,,,,
,,2,1981,,,,,,,"OG","C04","50 x 65 cm","sí",,,,,"L. en varias tintas","L. en diverses tintes","Exposición Tàpies",,,,,"Tiratge avant la lettre de 100 exs. n. 1/100-100/100 i s., més alguns exs. P.A. de les cobertes del catàleg de l'exposició de Tàpies a la Fondation du Château de Jau, Cases de Pène (estiu de 1981)","Fondation du Château de Jau, Cases de Pène",,,"Arches","Litografías Artísticas Damià Caus, Barcelona",,,"Arches",,,,,,
,,,1983,,,"Tiratge avant la lettre d'un cartell editat amb motiu de l'exposició ""Tàpies-cartells"" a la Fundació Joan Miró de Barcelona (desembre de 1983 - febrer de 1984) ",,,,"OG","C06","65 x 50 cm.","sí",,,,,"L. en varias tintas","L. en diverses tintes","Exposición Tàpies - cartells",,,,,"100 exs. n. 1/100-100/100 i s., 5 exs. H.C. s., més 15 exs. P.A. n. I/XV-XV/XV i s.","Fundació Joan Miró, C.E.A.C., Barcelona",,,"Guarro","Tallers d'Edicions Polígrafa, Barcelona",,,,,,,,,
,,,1983,,,"Tiratge avant la lettre d'un cartell editat amb motiu de l'exposició ""Tàpies-cartells"" a la Fundació Joan Miró de Barcelona (desembre de 1983 - febrer de 1984) ",,,,"OG","C06","65 x 50 cm.","sí",,,,,"L. en varias tintas","L. en diverses tintes","Exposición Tàpies - cartells",,,,,"100 exs. n. 1/100-100/100 i s., 5 exs. H.C. s., més 15 exs. P.A. n. I/XV-XV/XV i s.","Fundació Joan Miró, C.E.A.C., Barcelona",,,"Guarro","Tallers d'Edicions Polígrafa, Barcelona",,,,,,,,,
,,2,1986,,,,,,,"OG","C09","75 x 52 cm.","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","Exposición Tàpies. Sculptures et reliefs mucaux.",,,,,"Tiratge de 75 exs. ""avant la lettre"" d'un cartell per anunciar l'exposició d'obres de Tàpies a la Abbaye de Montmajour, Arlés-sur-Rhône (6 de juliol - 13 d'octubre de 1986)","L´incitation à la création. Centre international de création artistique, Arles",,,"Arches","Atelier Lelong, París",,,,,,,,,
,,2,1986,,,,,,,"OG","C09","75 x 52 cm.","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","Exposición Tàpies. Sculptures et reliefs mucaux.",,,,,"Tiratge de 75 exs. ""avant la lettre"" d'un cartell per anunciar l'exposició d'obres de Tàpies a la Abbaye de Montmajour, Arlés-sur-Rhône (6 de juliol - 13 d'octubre de 1986)","L´incitation à la création. Centre international de création artistique, Arlés",,,"Arches","Atelier Lelong, París",,,,,,,,,
"T-6366",,,1990,,,,,,,"OG","E21","40,5 x 60,5 cm",,"sí",,,,,"Pintura i llapis sobre paper","FAT I",,,,,,,,,,,,,,"FAT I","FAT I","FAT I","Pintura y lápiz sobre papel","Paint and pencil on paper","Peinture et crayon sur papier"
"T-6367",,,1990,,,,,,,"OG","E21","40,5 x 60,5 cm",,"sí",,,,,"Pintura i llapis sobre paper","FAT II",,,,,,,,,,,,,,"FAT II","FAT II","FAT II","Pintura y lápiz sobre papel","Paint and pencil on paper","Peinture et crayon sur papier "
"T-6368",,,1990,,,,,,,"OG","E21","40,5 x 60,5 cm",,"sí",,,,,"Pintura i llapis sobre paper","FAT III",,,,,,,,,,,,,,"FAT III","FAT III","FAT III","Pintura y lápiz sobre papel ","Paint and pencil on paper","Peinture et crayon sur papier"
"T-6369",,,1990,,,,,,,"OG","E21","40,5 x 60,5 cm",,"sí",,,,,"Pintura i llapis sobre paper","FAT IV",,,,,,,,,,,,,,"FAT IV","FAT IV","FAT IV","Pintura y lápiz sobre papel","Paint and pencil on paper","Peinture et crayon sur papier"
"GM-100",,,1950,,"BROSSA, J.   Ú no és ningú   (b/n)

CATOIR, B.  Gespräche mit Antoni Tàpies. München: Prestel Verlag,
1987 , làm. 86, p. 120 (b/n)
FRANZKE, A. Tàpies.   Barcelona: Polígrafa, 1992, làm. 34, p. 64 (b/n
VALLÈS ROVIRA, J. Tàpies Empremta (art-vida) , 1a edició Figueres:
Art-3, 1982, edició de bibliòfil de 40 exemplars. 2a. edició Barcelona:
Robrenyo, 1983  [p. 134] (b/n)
Kunsthalle, Bremen, 1977, làm. 10, cat. 32  (b/n)",,,"""Kunsthalle, Bremen 4.9-23.10.77."" Itinerància : Staatliche
Kunsthalle, Baden-Baden, 1977.  Kunstmuseum, Winterthur     1978",,"OG","II077","50 x 38,5 cm",,"sí","CaixaForum fins 20.02.2011",,,,"Tinta xinesa sobre paper","Feixisme. Sèrie Història Natural","60101,2104383782",,,,,,,,,,,,,"Fascismo. Serie Historia Natural","Fascism. Natural History Series","Fascisme. Série Histoire naturelle","Tinta china sobre papel","India ink on paper","Encre de Chine sur papier"
,,1,1976,,,,,,,"OG","B08","33 x 51,5 cm","sí",,,,,"Aguafuerte y barniz blando en varias tintas","Aiguafort i vernís tou en diverses tintes","Fenêtre à Campins",,,,,"50 exs. n. i s., més 15 exs. n. H.C. I/XV-XV/XV i s.","Galeria Maeght, Barcelona",,,"Auvergne","J. Barbarà, Barcelona",,,"Richard de Bas",,,,,,
,,2,1981,,,,,,,"OG","C04","26 x 34,5 cm","sí",,,,,"Serigrafía en varias tintas","Serigrafia en diverses tintes","Festa anual FAD",,,,,"400 exs. n. 1/400-400/400 i s. Realitzada per commemorar la festa anual del FAD.","FAD, Barcelona",,,,,,,,,,,,,
,,2,1981,,,"Aquesta serigrafia va ser realitzada per commemorar la festa anual del FAD.",,,,"OG","C04","26 x 34,5 cm","sí",,,,,"Serigrafía en varias tintas","Serigrafia en diverses tintes","Festa anual FAD",,,,,"400 exs. n. 1/400-400/400 i s. ","FAD, Barcelona",,,,,,,,,,,,,
,,2,1981,,,,,,,"OG","C04","78,5 x 107,5 cm","sí",,,,,"Aguafuerte en varias tintas","Aiguafort en diverses tintes","Feu II",,,,,"50 exs. n. 1/50-50/50 i s., 15 exs. H.C. n. 1/15-15/15 i s., més 2 exs. P.A. s.","Galerie Lelong, París",,,"Guarro","J. Barbarà, Barcelona",,3,"Guarro",,,,,,
,,2,1981,,,,,,,"OG","C04","78,5 x 107,5 cm","sí",,,,,"Aguafuerte en varias tintas","Aiguafort en diverses tintes","Feu II",,,,,"50 exs. n. 1/50-50/50 i s., 15 exs. H.C. n. 1/15-15/15 i s., més 2 exs. P.A. s.","Galerie Lelong, París",,,"Guarro","J. Barbarà, Barcelona",,3,"Guarro",,,,,,
,,2,1985,,,,,,,"OG","C08","75 x 55 cm","sí",,,,,"Aguafuerte y carborúndum en varias tintas con relieve","Aiguafort i carborúndum en diverses tintes amb relleu","Figura",,,,,"99 exs. n. 1/99-99/99 i s., 15 exs. H.C. n. 1/15-15/15 i s., 5 exs. H.C. s. i no n., més 15 exs. P.A. n. 1/15-15/15 i s.","La Polígrafa, Barcelona",,,"Guarro","La Polígrafa, Barcelona",,3,"Guarro",,,,,,
,,2,1985,,,,,,,"OG","C08","75 x 55 cm","sí",,,,,"Aguafuerte y carborúndum en varias tintas con relieve","Aiguafort i carborúndum en diverses tintes amb relleu","Figura",,,,,"99 exs. n. 1/99-99/99 i s., 15 exs. H.C. n. 1/15-15/15 i s., 5 exs. H.C. s. i no n., més 15 exs. P.A. n. 1/15-15/15 i s.","La Polígrafa, Barcelona",,,"Guarro","La Polígrafa, Barcelona",,3,"Guarro",,,,,,
,,2,1995,,,,,,,"OG","E17","120 x 80 cm.","sí",,,,,"Xilografía en 1 tinta (negro)","Xilografía en 1 tinta (negre)","Figura",,,,,"20 exs. n. 1/20-20/20 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. n. 1/2-2/2 i s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches velin","Joan Roma i Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
,,2,1995,,,,,,,"OG","E17","120 x 80 cm.","sí",,,,,"Xilografía en 1 tinta (negro)","Xilografia en 1 tinta (negre)","Figura",,,,,"20 exs. n. 1/20-20/20 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. n. 1/2-2/2 i s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches velin","Joan Roma i Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
"T-5821",,,1989,,,,,,,"RP","38A","158 x 107 cm",,"sí","Emden",,,,"Pintura, vernís i llapis sobre paper","Figura amb parpella ","450,7590782878",,,,,,,,,,,,,"Figura con párpado","Figure with Eyelid","Figure à la paupière","Pintura, barniz y lápiz sobre papel","Paint, varnish and pencil on paper","Peinture, vernis et crayon sur papier"
"T-2484",,,1977,,,,,,,"OG","II093","58 x 44 cm",,"sí",,,,,"Pintura al monotip sobre paper d'estrassa","Figura de dona","51086,0288726215",,,,,,,,,,,,,"Figura de mujer","Figure of a Woman","Figure de femme","Monotipo sobre papel de estraza","Monotype on wrapping paper","Monotype sur papier bulle"
"T-4024",,,1945,,,,,,,"OG","I026","39,5 x 31,5 cm",,"sí",,,,,"Llapis sobre paper","Figura i finestra","60101,2104383782",,,,,,,,,,,,,"Figura y ventana","Figure and Window","Figure et fênetre","Lápiz sobre papel","Pencil on paper","Crayon sur papier"
"T-347",,,1947,,,,,,,"RP","10A","76,5 x 64,5 cm",,"sí",,,,,"Procediment mixt sobre fusta","Figura sobre fusta cremada","1502,5302609595",,,,,,,,,,,,,"Figura sobre madera quemada","Figure on Burnt Wood","Figure sur bois brûlé ","Técnica mixta sobre tabla","Mixed media on wood","Technique mixte sur bois"
,,2,1991,,,,,,,"OG","D05","38 x 56,8 cm","sí",,,,,"Aguafuerte y aguatinta en una tinta (negro)","Aiguafort i aiguatinta en una tinta (negre)","Figura-paisatge",,,,,"75 exs. n. 1/75 - 75/75 f., 1 ex. H.C., 1 P. de T. per Joan Barbarà, 4 exs. E.A. f.","Graphos Verlag, Vadoz (Liechtenstein)",,"15 x 20,5 cm","Guarro","J. Barbarà, Barcelona",,,"Guarro",,,,,,
,,2,1991,,,,,,,"OG","D05","38 x 56,8 cm","sí",,,,,"Aguafuerte y aguatinta en una tinta (negro)","Aiguafort i aiguatinta en una tinta (negre)","Figura-paisatge",,,,,"75 exs. n. 1/75 - 75/75 f., 1 ex. H.C., 1 P. de T. per Joan Barbarà, 4 exs. E.A. s.","Graphos Verlag, Vadoz (Liechtenstein)",,,"Guarro","J. Barbarà, Barcelona",,,"Guarro",,,,,,
"T-349",,,1946,,,,"correcte",,,"RP","34A","53 x 75 cm",,"sí",,,,,"Pintura i collage sobre cartó","Fils i argolla","1803,0363131514",,,,,,,,,,,,,"Hilos y argolla","Threads and Ring","Fils et anneau","Pintura y collage sobre cartón ","Paint and collage on cardboard","Peinture et collage sur carton"
,,2,1995,,,,,,,"OG","E17","120 x 80 cm","sí",,,,,"Xilografía en 1 tinta (negro)","Xilografia en 1 tinta (negre)","Finestra",,,,,"20 exs. n. 1/20-20/20 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. n. 1/2-2/2 i s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches velin","Joan Roma i Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
,,2,1995,,,,,,,"OG","E17","120 x 80 cm.","sí",,,,,"Xilografía en 1 tinta (negro)","Xilografia en 1 tinta (negre)","Finestra",,,,,"20 exs. n. 1/20-20/20 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. n. 1/2-2/2 i s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches velin","Joan Roma i Takeshi Motomiya, Barcelona",,,"Arches",,,,,,
