"any","Codi arxiu digital","duració","exposició","instal.lació","núm. inventari","observacions","préstec","productor","qualitat","Realització","so","status","suport","tipus","títol"
,"038_FV7_C016_NI439","33 minuts  8 segons","Merce Cunningham",,439,,"Babuin, digitalització (gener 2011)",,"dolenta al final","urano films","mono",,"VHS","color","caos 64"
" 2002
x",," 28 min 32 s"," Steve McQueen"," Artangel ( Londres ) y Documenta  ( kassel ).",552,,,"  Artangel ( Londres ) y Documenta  ( kassel )."," buena"," Steve McQueen","  sonido","2/2"," dvd ( transferida desde una pelicula en super 8 mm )","  color","Caribs ' Leap."
"1988
","068_FV5_C016_NI565","6 min 30 sec.","Tour-ismes. La derrota de la dissensió",,565,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","MICA TV y Channel 4","buena","MICA TV / Dan Graham","sonido","2/2","Betacam SP S","color","Cascade (Vertical Landscape)"
"1988",,"00:08:00","Tour-ismes. La derrota de la dissensió",,566,,"NE 4/10/2006","MICA TV y Channel 4","buena","MICA TV / Dan Graham","con sonido","1/2","dvd","color","Cascade / Vertical landscape"
"1995",,"26 min","Chris Marker","monitor 33' soterrani",226,"còpia usada durant l'exposició","Babuin, digitalització (gener 2011)",,,"Chris Marker ","si","1/2","VHS pal","color","Casque bleu"
"1995",,"26 min","Chris Marker","monitor 33' soterrani",227,"còpia usada durant l'exposició","CEDIT A LA BIBLIOTECA (16/1/2001)",,,"Chris Marker ","si","2/2","VHS pal","color","Casque bleu"
,"044_FV7_C016_NI370","30 min. aprox.","Rainer Oldendorf","Centre d'Ivry",370,"còpia per a exposició","Babuin, digitalització (gener 2011)","Llorenç Torrades",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Centre d'Ivry. Kamera Links"
,,"30 min. aprox.","Rainer Oldendorf","Centre d'Ivry",371,"còpia per a exposició","CEDIT A LA BIBLIOTECA (16/1/2001)","Llorenç Torrades",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Centre d'Ivry. Kamera Links"
,"044_FV7_C016_NI372","36 min. aprox.","Rainer Oldendorf","Centre d'Ivry",372,"còpia per a exposició",,"Llorenç Torrades",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Centre d'Ivry. Kamera reckts"
,,"36 min. aprox.","Rainer Oldendorf","Centre d'Ivry",373,"còpia per a exposició","CEDIT A LA BIBLIOTECA (16/1/2001)","Llorenç Torrades",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Centre d'Ivry. Kamera reckts"
"Varis anys 1973-1977",,"no controlada","Ana Mendieta","Vídeo performances",75,"còpia sobre el màster que ens va deixar CGAC Santiago.","CEDIT A LA BIBLIOTECA (16/1/2001)","Ana Mendieta","vídeo extret de 18 mm. mala qualitat","Ana Mendieta","ambiental","còpia","color","VHS Pal","Centre Georges Pompidou. Mendieta Performances"
"Varis anys 1973-1977",,,"Ana Mendieta","Vídeo performances",76,"còpia sobre el màster que ens va deixar CGAC Santiago.",,"Ana Mendieta","vídeo extret de 18 mm. mala qualitat","Ana Mendieta","ambiental","còpia","color","VHS Pal","Centre Georges Pompidou. Mendieta Performances"
"1995",,"26 minuts 15 segons",,,455,,,"Oscar Blanco i Pere Llop","bona",,"mono",,"VHS","color","Cifras y Letras"
,"B02_FV7_C006_NI492","26 min. 17 seg.",,,492,"programa de TVE sobre Antoni Tàpies",,"TVE","bona","TVE","si","1/1","VHS","color","Cifras y letras, programa nº 872"
"1995, 20 gener.","021_FV7_C016_NI36","--","En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995)","activitat - concert speech",36,,"Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"còpies fetes per Estudi Fornell","--","còpia",,"color","Cinc ràdios i un lector de notícies"
"1999","040_FV7_C006_NI410","00:30:07","El Cinema Calculat",,410,"recull de l'exposició Cinema Calculat. 
Amb Eugeni Bonet i Vicen Rodríguez.
",,"BTV","bona","BTV","V.O. en  català","1/1","VHS","color","Cinema Calculat. Reportatge de BTV sobre l'exposició."
"1968",,"00:69:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",717,"14-19 de maig de 2008",,,,"Anònims","V.O. Subtitulada en castellà","5","DVD b/n","Curtmetratges. PAL, 4/3. Stereo","Cinétracts."
,"054_FV7_C016_NI787","01:24:00","Representacions àrabs contemporànies. Beirut / Líban",,787,,"Babuin, digitalització (gener 2011)",,,"Moh'a Soueia",,,"VHS",,"Civil War"
"1968",,"00:40:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",716,"14-19 de maig de 2008",,,,"Grup Medvedkine de Besançon","V.O. Subtitulada en castellà","4.3","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Classe de lutte."
"1995",,"01:01:08","Els límits del Museu",,838,"© Bill Fontana, 1995",,,,"Bill Fontana","sí",,"CD àudio","àudio","Clock from Time Fountain"
"1985; 1979; 1985; 1981
x ",,"33 min 12 sec","Entusiasme",,614,,,"Neil Cummings y Marysia Lewandowska","buena",,"con sonido (?)","1","dvd","color y blanco y negro","CLUBLIFE:  Reunión de miembros (1985), estreno de ""camera buff"" (1979), fotos de la vida en el club (1985), behind the window-pane (1981), How to make a Grand P winning Film (años setenta)"
"1995","028_FV5_C017_NI75","23 minuts","Senyals de vídeo","auditori",75,"Còpia que va passar el MNCARS per FAT","Babuin, digitalització (gener 2011)","varis",,"varis","bo","còpia màster","Betacam SP","color","compactat per premsa"
"1995",,"23 minuts","Senyals de vídeo","auditori",76,"Còpia que va passar el MNCARS per FAT",,"varis",,"varis","bo","còpia","VHS","color","compactat per premsa"
"1995",,"23 minuts","Senyals de vídeo","auditori",77,"Còpia que va passar el MNCARS per FAT",,"varis",,"varis","bo","còpia","VHS","color","compactat per premsa"
"1997",,,"Lygia Clark","Activitat auditori",138,"Vídeo que es va grabar amb una càmeria domèstica pel personal de la fundació.
",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","directe","Original","8mm","color","Conferència de David Medalla sobre Lygia Clark del 16 de desembre de 1997"
"1997","033_FV7_C002_NI139",,"Lygia Clark","Activitat auditori",139,"Vídeo que es va grabar amb una càmeria domèstica pel personal de la fundació.
","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","directe","còpia VHS","VHS (tret de l'original de 8 mm)","color","Conferència de David Medalla sobre Lygia Clark del 16 de desembre de 1997"
"2008",,"2 min 4 s (total: 2 min 4 s x 4 DVD)
Loop","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell -1",742,"Loop (en bucle)
Pertany a una obra projectada en 4 DVDs",,"Col·lecció de l’artista, Bruges","Bona","Ria Verhaeghe","NO","1/4","DVD en loop","Color","Connect (1)"
"2008",,"2 min 4 s (total: 2 min 4 s x 4 DVD)
Loop","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell -1",743,"Loop (en bucle)
Pertany a una obra projectada en 4 DVDs",,"Col·lecció de l’artista, Bruges","Bona","Ria Verhaeghe","NO","2/4","DVD en loop","Color","Connect (2)"
"2008",,"2 min 4 s (total: 2 min 4 s x 4 DVD)
Loop","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell -1",744,"Loop (en bucle)
Pertany a una obra projectada en 4 DVDs",,"Col·lecció de l’artista, Bruges","Bona","Ria Verhaeghe","NO","3/4","DVD en loop","Color ","Connect (3)"
"2008",,"2 min 4 s (total: 2 min 4 s x 4 DVD)
Loop","Alma Matrix. Bracha L. Ettinger i Ria Verhaeghe","Nivell -1",745,"Loop (en bucle)
Pertany a una obra projectada en 4 DVDs",,"Col·lecció de l’artista, Bruges","Bona","Ria Verhaeghe","NO","4/4","DVD en loop","Color","Connect (4)"
"1973",,"00:06:48","Anna Maria Maiolino",,831,"Banda sonora: Laura Clayton
So afegit i transcrit a vídeo digital l'any 2000",,,"bona","Anna Maria Maiolino","sí",,"DVD Loop","color","Construção e jogo"
"1973, 1974, 1976, 1982, 1999, 2004",,,"Anna Maria Maiolino",,705,,,,"bona","Anna Maria Maiolino","Portuguès, música",,"DVD","Color","Construção/ Jogo, 1973 - 6'48""
In-Out (antropofagia), 1973 - 8'14""
X, 1974 - 3'
Y, 1974 - 2'28""
+ - = -, 1976 - 3'45""
Verso/inversus, 1979 - 2'45""
Adhoc, 1982 - 3'43""
+ & -, 1999 - 5'59""
1/3 x 2/3 (video instalação arroz e feijão) - 11'38""
Um momento po favor, 1999/2004 - 4'14""


"
,"079_FV7_C006_NI805","00:09:00","Arxiu F.X.: La ciutat buida",,805,,,"BTV",,,"V.O. en català",,"VHS","color","Converses a l'entorn del Fòrum. Lluís Foix entrevista a Anthony Giddens (Director de la London School of Economics)
"
"2007",,"I-XIII. Duració: 1h 20 min","Zona B: als marges d´Europa",,650,,,,,"Angela Melitopoulos","si",,"DVD",,"Corridor X (Corredor X) (AUDIO)"
"2007",,"I-XIII. Duració: 1h 20 min","Zona B: als marges d´Europa",,649,,,,,"Angela Melitopoulos",,,"DVD",,"Corridor X (Corredor X) (Pantalla derecha)"
"2007",,"I-XIII. Duració: 1h 20 min","Zona B: als marges d´Europa",,648,,,,,"Angela Melitopoulos",,,"DVD",,"Corridor X (Corredor X) (Pantalla izquierda)"
"1998",,"59 min. 25 seg.","Merce Cunningham 1960's",,435,"es repeteix",,"Fundació Antoni Tàpies","mitjana","Fundació Antoni Tàpies","sí",,"VHS PAL","color","Crises (1960); Story (1963); Variations V (1965); Rain Forest (1968); Walkaround time(1968)."
,"011_FV7_C016_NI416","5 minuts  55 segons","Hélio Oiticica",,416,"està en portuguès","Babuin, digitalització (gener 2011)",,"passable",,"si",,"VHS","color","Cristiane Alvarez"
"1961",,"00:52:00 (52 min)","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",711,"14-19 de maig de 2008",,,,"Guy Debord","V.O. Subtitulada en castellà","2.2","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Critique de la séparation."
,"051_FV7_C016_NI517","90 min.","Arquitectures del discurs",,517,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Babuin",,"Fundació Antoni Tàpies","si","1/1","VHS","color","Crónica de una lucha anunciada"
"2001","049_FV7_C016_NI473","60 min.","INSIDEOUT: jardí del cambalache",,473,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Cultívate"
"2001",,"60 min.","INSIDEOUT: jardí del cambalache",,474,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Cultívate"
"2001","049_FV7_C016_NI475","90 min.","INSIDEOUT: jardí del cambalache",,475,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Cultívate; Troc; Encants"
"2001",,"90 min.","INSIDEOUT: jardí del cambalache",,476,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Cultívate; Troc; Encants"
"1968, 1973, 1980, 1992","011_FV7_C016_NI795",,"Hélio Oiticica",,795,"*Direcció Antonio Manuel. Amb Hélio Oiticica, Rogério Duarte, Lygia Pape, Luis Sandanka, Caetano Veloso, al  Museu de Arte Moderna do Rio de Janeiro.
","Babuin, digitalització (gener 2011)","A & B Producçoes Cinematográficas","mitjana bona","Antonio Manuel
","V.O. en portugués",,"VHS","b/n  i color","Cultura & loucura*, 1968 
Somos o molde, Cabe a voces, O sopro (Lygia Clark, Hélio Oiticica, sala especial do 90 Salão Nacional de Artes Plásticas)
Quasi cinema. Fragmenten 

"
"1968",,,"Hélio Oiticica",,796,"Hélio Oiticica e Rogério Duarte realitzen al  Museu de Arte Moderna do Rio de Janeiro el“Cultura e Loucura”, amb la presència de Caetano Veloso.",,,"mitjana bona","A & B Producçoes Cinematográficas","V.O. en portugués",,"VHS","b/n  i color","Cultura e loucura"
"1980",,"56 min. 36 seg.","Merce Cunningham 1980's","Video D Studios",434,"es repeteix dos cops",,"Fundació Antoni Tàpies","una mica gastada","Fundació Antoni Tàpies","mono",,"VHS PAL","color","Channels/inserts (1981); Roaratorio (1983); Pictures (1984); Points in Space (1986); August Pace (1989)."
"1983",,"11 min 23 s","Sanja Iveković. Alerta general. Obres 1974-2007",,639,,,,,"Sanja Iveković","si",,"DVD, Video, sound, colour, autoplay, looped",,"Chanoyu"
"1990",,"3 min","Chris Marker","monitor 33' soterrani",224,"còpia usada durant l'exposició","Babuin, digitalització (gener 2011)",,,"Chris Marker ","si","1/2","VHS pal","color","Chat écoutant la musique"
"1990",,"3 min","Chris Marker","monitor 33' soterrani",225,"còpia usada durant l'exposició","CEDIT A LA BIBLIOTECA (16/1/2001)",,,"Chris Marker ","si","2/2","VHS pal","color","Chat écoutant la musique"
"1990",,"60 min.","Matt Mullican",,390,"còpia per a exposició donada per Serralves",,"Fundação Serralves, Porto",,"Fundação Serralves, Porto","si","1/5","VHS","color","D.G. Oswald"
"1990",,"60 min.","Matt Mullican",,391,"còpia per a exposició donada per Serralves",,"Fundação Serralves, Porto",,"Fundação Serralves, Porto","si","2/5","VHS","color","D.G. Oswald"
"1990",,"60 min.","Matt Mullican",,392,"footatge edited from 16 mm. film, 1935",,"Babuin (Llorenç Torrada)",,"Babuin (Llorenç Torrada)","si","3/5","VHS","color","D.G. Oswald"
"1990",,"60 min.","Matt Mullican",,393,"footatge edited from 16 mm. film, 1935",,"Babuin (Llorenç Torrada)",,"Babuin (Llorenç Torrada)","si","4/5","VHS","color","D.G. Oswald"
"1990","046_FV7_C016_NI394","60 min.","Matt Mullican",,394,"footatge edited from 16 mm. film, 1935","Babuin, digitalització (gener 2011)","Babuin (Llorenç Torrada)",,"Babuin (Llorenç Torrada)","si","5/5","VHS","color","D.G. Oswald"
"2000","051_FV7_C016_NI519","15 min.","Arquitectures del discurs",,519,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Virginia Villaplana",,"Virginia Villaplana","si","1/3","VHS","color","Daydream Mechanics"
"2000",,"15 min.","Arquitectures del discurs",,520,"còpia utilitzada per a l'exposició",,"Virginia Villaplana",,"Virginia Villaplana","si","2/3","VHS","color","Daydream Mechanics"
"2000",,"15 min.","Arquitectures del discurs",,521,"còpia utilitzada per a l'exposició",,"Virginia Villaplana",,"Virginia Villaplana","si","3/3","VHS","color","Daydream Mechanics"
"1993",,"9,10 mm","Jana Sterbak","Declaration",164,"agraïments a B. de Lajugie, M. Legros i C. Crousel",,,,"Fundació Antoni Tàpies","francès",,,"color","Declaration"
"1993","029_FV7_C006_NI444","9 min 50 seg","Jana Sterbak",,444,"és un discurs","Babuin, digitalització (gener 2011)",,"no massa bona",,"si",,"VHS","color","Declaration"
"1993",,"2 hores  1 minut  44 segons","Jana Sterbak",,460,"és un discurs",,,"no massa bona",,"si","Còpia","VHS","Blanc i negre","Declaration"
"1993",,"9 minuts  50 segons","Jana Sterbak",,429,"és un discurs",,,"dolenta",,"sí","còpia","VHS","color","Déclaration"
"1969-70","031_FV7_C016_NI89","28 seg. (gravat en un si fin fins a 30 minuts)","Marcel Broodthaers","Vídeo Défense de Fumer",89,,"Babuin, digitalització (gener 2011)","Marcel Broodthaers",,"Marcel Broodthaers","mut","Còpia 1","VHS","blanc i negre","Défense de Fumer"
"1969-70",,"28 seg. (gravat en un si fin fins a 30 minuts)","Marcel Broodthaers","Vídeo Défense de Fumer",90,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Marcel Broodthaers",,"Marcel Broodthaers","mut","Còpia 2","VHS","blanc i negre","Défense de Fumer"
"1999; 1996; 1991; 1987; 1982
","068_FV7_C016_NI557","duración total 62 min. Déjà vu (21 min.);  Passagen (12 min.); Semiotic Ghosts (18 min.); Substantial Shadow (17 min.); Souvenirs (12 min.).","Tour-ismes. La derrota de la dissensió",,557,,"Babuin, digitalització (gener 2011)","Polyfilm Verleih y A. Daumreicher-Ivanceanu","buena","Lisl Ponger",,"1","VHS","color","Déjà vu (1999); Passagen (1996); Semiotic Ghosts (1991); Substantial Shadow (1987); Souvenirs (1982) "
"1998","047_FV7_C016_NI408","60 min.","Eulàlia Valldosera. Obres 1990-2000","Devoción Retratada … Confía demasiado en su cabeza",408,"Còpia sense utilitzar. La còpia usada se li va donar a l'Eulàlia Valldosera","Babuin, digitalització (gener 2011)","Babuin","bona","Babuin","si","1/1","VHS","color","Devoción Retratada … Confía demasiado en su cabeza"
"1978 - 1979",,,"Bahman Jalali (27/9/2007 - 30/12/2007)",,657,"© Bahman Jalali & Rana Javadi",,,,"Bahman Jalali & Rana Javadi","no",,"DVD","Diaporama b/n","Dies de sang, dies de foc"
"1996",,"240 min","Renée Green: Ombres i senyals",,282,"Cinta utilitzada durant l'exposició","CEDIT A LA BIBLIOTECA (16/1/2001)",,"bona","Renée Green","si","1/2","VHS Pal","Color","Dorothy Shinn, Brinsley Terrel, Janice and Lonie Turner."
"1996","042_FV7_C016_NI283","240 min","Renée Green: Ombres i senyals",,283,"Cinta nova no utilitzada","Babuin, digitalització (gener 2011)",,"bona","Renée Green","si","2/2","VHS ","color","Dorothy Shinn, Brinsley Terrell, Janice and Lonnie Turner."
"1962 a 1977","058_FV7_C016_NI802",,"Shoot Shoot Shoot",,802,"Preview Reel. For reference only.
Sampler Tape
","Babuin, digitalització (gener 2011)","LUX (www.lfmc.org)","bona","VVAA","sí",,"VHS","color","Double screen films, London underground, Structural/Materialist, Location: Duration, Intervention & Processing, Diversifications, The Epic Flight, Expanded Cinema.
"
"2002
",,"24 min 60 sec","Indivisuals",,546,,,,"buena","Taras Polataiko","sin sonido","1/2","dvd","color","Dreams"
"2002
",,,"Indivisuals",,547,"NO se puede visionar. ",,,,"Taras Polataiko",,"2/2","DVD",,"Dreams"
"2010",,"00:18:00","Anna Maria Maiolino",,821,"Veus: Anna Maria Maiolino, Veronica Gerchman i Sandra Urizzi Lessa
Instal·lació sonora",,,"bona","Anna Maria Maiolino","sí",,"DVD Loop àudio","àudio","É, instal·lació sonora"
"1963, 1964","043_FV5_C017_NI377",,"Andy Warhol: cinema, vídeo i tv",,377,"còpia feta per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Llorenç Torrades",,"Fundació Antoni Tàpies","si","1/1","Betacam SP S","color","Eat, Couch, Sleep, The Chelsea Girls, Empire, Blow Job, Kiss, Couch, Fuego, Hello Again, TDK, Vacaciones en el mar"
"1993; 1964; 1963; 1966; 1964; 1963",,"4 min","Andy Warhol",,454,"al final hi ha petits fragments de videoclips. Els films duren: 39 min; 40 min; 6 h; 195 min; 8 h; 35 min",,,,,"dolent",,"VHS","blanc i negre","Eat; Couch; Sleep; The Chelsea Girls; Empire; Blow Job; Kiss"
"1979",,"107 min","Entusiasme",,733,,,"Zespol Filmowy Tor",,"Krzysztof Kieslowski","Polonès, castellà (subtítols en castellà).",,"DVD",,"El Aficionado (Amator)"
"2007",,"00:12:10","Tour-ismes. La derrota de la dissensió",,833,"Publicat sota llicència CC By-Nc",,,,"Marcelo Expósito","Castellà / anglès",,"DVD","color","El año en que el futuro acabó (comenzó) / The year in wich the future ended (began)"
"2001","049_FV7_C016_NI483","1 hora 38 min. ","INSIDEOUT: jardí del cambalache",,483,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color","El plante"
"1960, 1962, 1965, 1980, 1978, 1969, 1972, 1975","040_FV7_C016_NI400","66 min.","El Cinema Calculat","auditori",400,"cedida per Barcelona Televisió","Babuin, digitalització (gener 2011)","BTV",,"BTV","si","1/1","VHS","color","Elements d'imatge: Lines-Vertical, Lines-Horizontal, Mosaic, Trama, 3/78 (Objects and Transformations), Binary Bit Patterns, Matrix III, Gelfecht"
"1988 a 1995","028_FV7_C016_NI824","comença a partir del minut 00:01:40","Senyals de vídeo",,824,"Josep M. Jordana, Fritzcarraldo, Luis Ángel Abad
Hi ha més films i autors","Babuin, digitalització (gener 2011)
",,,"VVAA","sí",,"VHS","color","En construcción. Panorama de los 90. Programa 1
Meta/Pop
Aeronauta off
Mensaje recibido
"
"1988 a 1995","028_FV7CC016_NI825","comença a partir del minut 00:01:40","Senyals de vídeo",,825,"Koldo Jones, Francisco Ruiz de Infante
Hi ha més autors i més obres","Babuin, digitalització (gener 2011)",,,"VVAA","sí",,"VHS","color","En construcción. Panorama de los 90. Programa 2
Cossos & veus
Intro Vertido
Los paseos nocturnos (Les promenades nocturnes)

"
"1988 a 1995","028_FV7_C016_NI826",,"Senyals de vídeo",,826,"Joan Lenadre, Virginia Zabala
Hi ha més obres i autors","Babuin, digitalització (gener 2011)",,,"VVAA","sí",,"VHS","color","En construcción. Panorama de los 90. Programa 3
Entorn & Intern
Map 9.0
Vivan las caenas
Yo no soy yo (I)
Territorios ocupados"
"1924","025_FV7_C016_NI73","20 min.","Francis Picabia","Auditori",73,"Comprat al Centre Audio Visual de Paris
","Babuin, digitalització (gener 2011)","René Clair, Francis Picabia et Eric Satie","bona (imita qualitat pel.lícula antiga)","René Clair","bo","original","VHS Pal","b/n","Entr'acte"
"1924",,"60 min.(3 còpies seguides de l'original)","Francis Picabia","Auditori",74,"Comprat al Centre Audio Visual de Paris
CEDIT A LA BIBLIOTECA ",,"René Clair, Francis Picabia et Eric Satie","bona (imita qualitat pel.lícula antiga)","René Clair","bo","còpia","VHS Pal","b/n","Entr'acte"
"2008",,"00:40:00","Anna Maria Maiolino",,704,,,"Videcom","bona",,"V.O. en portuguès. Subtítols en anglès.",,"DVD","color","Entrevidas"
"2008",,"00:40:00 Loop","Anna Maria Maiolino",,836,,,"Videcom","bona",,"V.O. en portuguès. Subtítols en castellà",,"DVD Loop","color NTSC","Entrevidas"
,"020_FV7_C013_NI428","31 minuts  42 segons","La primera generació: dones i video 1970-75",,428,"és una entrevista","Babuin, digitalització (gener 2011)",,"mitjana",,"mono","còpia","VHS","color","Entrevista"
"2005",,"00:03:00
Curtmetartge","Representacions àrabs contemporànies. L'equació iraquiana",,676,"ubicació: despatx Miquel, arxiu RAC",,,,"Talal Refit","Música",,"DVD","Dibuixos animats","Epilog"
"2001",,"5 min 30 seg.","Eulalia Valldosera","Escombrada",470,,,"Fundació Antoni Tàpies",,"Eulalia Valldosera","si","1/1","DVCAM","color","Escombrada"
,"047_FV7_C016_NI405","53 min.","Eulàlia Valldosera. Obres 1990-2000","Auditori",405,"Còpia sense utilitzar. La còpia usada se li va donar a l'Eulàlia Valldosera","Babuin, digitalització (gener 2011)","Babuin","bona","Babuin","si","1/1","VHS","color","Escombrada (Sweeping) Versió 2000; Embenatges (Bandages) i Loop"
"2000","047_FV5_C017_NI506","3 min.","Eulàlia Valldosera",,506,"Per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011
","BABUIN",,"Fundació Antoni Tàpies","si","1/2","Betacam SP S","color","Escombrada (Sweeping) Versió 2001; Embenatges (Bandages); Loop"
"2000",,"3 min.","Eulàlia Valldosera",,507,"Per a premsa",,"BABUIN",,"Fundació Antoni Tàpies","si","2/2","Betacam","color","Escombrada (Sweeping) Versió 2001; Embenatges (Bandages); Loop"
"1994, 15 desembre.","021_FV7_C016_NI26","--","En l'esperit de Fluxus (25 novembre 1994 -  29 gener 1995)
","activitat - acció",26,,"Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"còpies fetes per Estudi Fornell","--","còpia","VHS PAL","color","Esther Ferrer -  Les coses"
"1994, 15 desembre.",,,"En l'esperit de Fluxus (25 novembre 1994 -  29 gener 1995)",,810,,,"Fundació Antoni Tàpies",,,,,"V. 8 mm","color","Esther Ferrer -  Les coses"
"2000",,"24 min. 50 seg.","Eulàlia Valldosera",,504,"còpia de seguretat",,,,"Fundació Antoni Tàpies","si","1/2","Betacam","color","Eulàlia Valldosera. Obres 1990-2000"
"2000","047_FV8_C016_NI505","24 min. 50 seg.","Eulàlia Valldosera",,505,"màster",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/2","DVCAM","color","Eulàlia Valldosera. Obres 1990-2000"
"1987 (© 2010)",,"14 min 59 s","Eva Hesse. Treballs de l'estudi","Nivell 2, àrea d’Arts combinatòries",740,,,"Michael Blackwood Productions, Inc.","Bona","Michael Blackwood","V. O. en anglès, sense subtítols",,"DVD","Color","Excerpt from FOUR ARTISTS: Robert Ryman, Eva Hesse, Bruce Nauman, Susan Rothenberg."
"1980
",,"20 min.","El sueño del publico: Teresa Hak kyung Cha","Exileé ( Exiliada ). instalación de cinema y video",606,,,,"buena","Teresa Hak kyung Cha","con sonido. Voz de la artista","1","dvd","Video, blanco y negro","Exilée"
"1980
",,,"El sueño del publico: Teresa Hak kyung Cha","Exilée. ",607,,,,"Buena","Teresa Hak kyung Cha","Muda","1","Pelicula 16 mm (copiada de super 8 mm)","Blanco y negro","Exilée"
"1980",,,"El sueño del publico: Teresa Hak kyung Cha","Exilée. ",606,"La instalación Exilée esta formada por un video (dvd) y una pelicula (16mm).",,,"Buena","Teresa Hak kyung Cha","con sonido","1","dvd","blanco y negro","Exilée"
"1992/1997
x",,"1 min 5 s","Steve McQueen",,554,,,,,"Steve McQueen","no",,"Pel·lícula en súper 8 mm transferida a DVD","vídeo, color","Exodus (Èxode)"
"2001","049_FV7_C016_NI485","1 hora 48 min.","INSIDEOUT: jardí del cambalache",,485,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color, loop","Expedición al dibujo"
"2003
","060_FV5_C017_NI542",,"Videos d'ocasió",,542,"Material per premsa. Extractes.","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,"Bona","Fundació Antoni Tàpies","sí","1","Betacam SP S","color; b/n","Extracte per premsa"
,"043_FV7_C017_NI496","4 min.","Andy Warhol: cine, video i TV",,496,"video realitzat per la premsa",,"Fundació Antoni Tàpies","bona",,"si","1/1","VHS","b/n i color","extractes de diferents pel·lícules"
"1954, 1958, 1968, 1968, 1977, 1978, 1987, 1991, 1993","038_FV5_C017_NI348","3 min.","Merce Cunningham",,348,"video elaborat per a premsa","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,"si","1/1","Betacam SP S","color","Extractes de: Minutiae, Antic Meet, RainForest, Walkaround Time, Travelogue, Exchange, Points in Space, Beach Birds, CRWDSPCR"
"
","061_FV7_C016_NI548","2h 3min.","Indivisuals","Layover",548,,"Babuin, digitalització (gener 2011)",,"buena","David Hoffos","sonido","1","vhs","color","Family group"
"1967, 1968, 1970, 1974",,"02:34:00","Amb i contra el cinema. Entorn del Maig del 68","Cicle de confe`rencies i de cinema",734,,,,"Bona","Chris Marker, Grup Medvedkine, Bruno Muel i col·lectiu de treballadors de Sochaux","V.O. en francès  (subtítols en castellà).","ORIGINAL","DVD","color","Films Grupo Medvedkine. Imágenes de la clase obrera en Francia del '68
1. A bientot, j'espere, Chris Marker i Mario Marret
    1967-1968 (44 min.)
2. Classe de lutte, Grupo Medvedkine de Besançon
    1968 (40 min.)
3. Sochaux, 11 juin 1968, Bruno Muel y colectivo de trabajadores de  
    Sochaux. 1970 (20 min.)
4. Avec le sang des autres, Bruno Muel
    1974 (50 min.)
   "
"2001","049_FV7_C016_NI486","52 min. 20 seg.","INSIDEOUT: jardí del cambalache",,486,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/3","VHS","color","Fira d'intercanvi"
